Time [sec],Potentiometer [V]
0.00,4.99512
0.01,4.375
0.02,0.9375
0.03,0.585938
0.04,3.75
0.05,4.99512
0.06,4.375
0.07,0
0.08,0.585938
0.09,3.75
0.10,4.99512
0.11,4.375
0.12,0.9375
0.13,0.585938
0.14,3.75
0.15,4.99512
0.16,4.375
0.17,0.9375
0.18,0.585938
0.19,3.75
0.20,4.99512
0.21,4.375
0.22,0.9375
0.23,0.585938
0.24,3.75
0.25,4.99512
0.26,4.375
0.27,0.9375
0.28,0.585938
0.29,3.75
0.30,4.99512
0.31,4.375
0.32,0.9375
0.33,0
0.34,3.75
0.35,4.99512
0.36,4.375
0.37,0.9375
0.38,0.585938
0.39,3.75
0.40,4.99512
0.41,4.375
0.42,0.9375
0.43,0.585938
0.44,3.75
0.45,4.99512
0.46,4.375
0.47,0.9375
0.48,0.585938
0.49,3.75
0.50,4.99512
0.51,4.375
0.52,0.9375
0.53,0.585938
0.54,3.75
0.55,4.99512
0.56,4.375
0.57,0.9375
0.58,0.585938
0.59,3.75
0.60,4.99512
0.61,4.375
0.62,0
0.63,0.585938
0.64,3.75
0.65,4.99512
0.66,4.375
0.67,0.9375
0.68,0.585938
0.69,3.75
0.70,4.99512
0.71,4.375
0.72,0.9375
0.73,0.585938
0.74,3.75
0.75,4.99512
0.76,4.375
0.77,0.9375
0.78,0.585938
0.79,3.75
0.80,4.99512
0.81,4.375
0.82,0.9375
0.83,0.585938
0.84,3.75
0.85,4.99512
0.86,4.375
0.87,0.9375
0.88,0.585938
0.89,3.75
0.90,4.99512
0.91,4.375
0.92,0.9375
0.93,0.585938
0.94,3.75
0.95,4.99512
0.96,4.375
0.97,0
0.98,0.585938
0.99,3.75
1.00,4.99512
1.01,4.375
1.02,0.9375
1.03,0.585938
1.04,3.75
1.05,4.99512
1.06,4.375
1.07,0.9375
1.08,0.585938
1.09,3.75
1.10,4.99512
1.11,4.375
1.12,0.9375
1.13,0.585938
1.14,3.75
1.15,4.99512
1.16,4.375
1.17,0.9375
1.18,0.585938
1.19,3.75
1.20,4.99512
1.21,4.375
1.22,0.9375
1.23,0
1.24,3.75
1.25,4.99512
1.26,4.375
1.27,0.9375
1.28,0.585938
1.29,3.75
1.30,4.99512
1.31,4.375
1.32,0.9375
1.33,0.585938
1.34,3.75
1.35,4.99512
1.36,4.375
1.37,0
1.38,0.585938
1.39,3.75
1.40,4.99512
1.41,4.375
1.42,0.9375
1.43,0.585938
1.44,3.75
1.45,4.99512
1.46,4.375
1.47,0.9375
1.48,0.585938
1.49,3.75
1.50,4.99512
1.51,4.375
1.52,0.9375
1.53,0.585938
1.54,3.75
1.55,4.99512
1.56,4.375
1.57,0.9375
1.58,0.585938
1.59,3.75
1.60,4.99512
1.61,4.375
1.62,0.9375
1.63,0
1.64,3.75
1.65,4.99512
1.66,4.375
1.67,0.9375
1.68,0
1.69,3.75
1.70,4.99512
1.71,4.375
1.72,0
1.73,0
1.74,3.75
1.75,4.99512
1.76,4.375
1.77,0.9375
1.78,0.585938
1.79,3.75
1.80,4.99512
1.81,4.375
1.82,0.9375
1.83,0
1.84,3.75
1.85,4.99512
1.86,4.375
1.87,0.9375
1.88,0.605469
1.89,3.75
1.90,4.99512
1.91,4.375
1.92,0.9375
1.93,0.605469
1.94,3.75
1.95,4.99512
1.96,4.375
1.97,0.9375
1.98,0.605469
1.99,3.75
